 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle
1,117011.000,625.500,812.500,1212.657,433.000,619.000,385.000,387.000,387.003,384.966,90.000
2,78.541,16.206,21.050,31.418,11.218,16.037,9.975,10.026,10.027,9.974,90.000
3,0.053,16.335,21.620,0.816,16.193,21.504,0.285,0.233,0.283,0.238,0.000
4,0.032,15.778,21.581,0.661,15.700,21.452,0.155,0.259,0.252,0.163,90.000
5,0.021,13.848,20.390,0.536,13.783,20.286,0.130,0.207,0.213,0.129,90.000
6,0.021,14.832,20.416,0.536,14.768,20.312,0.130,0.207,0.213,0.129,90.000
7,0.021,15.817,20.441,0.536,15.752,20.338,0.130,0.207,0.213,0.129,90.000
8,0.034,16.827,20.480,0.654,16.737,20.364,0.181,0.233,0.233,0.187,90.000
9,0.028,17.825,20.506,0.617,17.747,20.390,0.155,0.233,0.224,0.160,90.000
10,0.032,13.874,21.568,0.674,13.809,21.426,0.130,0.285,0.296,0.136,90.000
11,0.028,17.747,21.491,0.617,17.669,21.374,0.155,0.233,0.224,0.160,90.000
12,0.016,18.783,21.517,0.456,18.732,21.426,0.104,0.181,0.185,0.111,90.000
13,0.021,13.822,22.423,0.492,13.757,22.333,0.130,0.181,0.191,0.139,90.000
14,0.024,14.742,22.436,0.573,14.664,22.333,0.155,0.207,0.196,0.157,90.000
15,0.021,15.817,22.436,0.536,15.752,22.333,0.130,0.207,0.213,0.129,90.000
16,0.021,16.801,22.462,0.536,16.737,22.359,0.130,0.207,0.213,0.129,90.000
17,0.021,17.682,22.475,0.492,17.617,22.385,0.130,0.181,0.191,0.139,90.000
18,0.024,15.648,23.421,0.573,15.571,23.317,0.155,0.207,0.196,0.157,90.000
19,0.024,14.353,20.545,0.573,14.275,20.441,0.155,0.207,0.196,0.157,90.000
20,0.030,15.351,20.519,0.611,15.260,20.416,0.181,0.207,0.205,0.183,90.000
21,0.024,16.322,20.493,0.573,16.244,20.390,0.155,0.207,0.196,0.157,90.000
22,0.021,17.333,20.519,0.488,17.255,20.441,0.155,0.155,0.165,0.165,0.000
23,0.023,18.317,20.506,0.530,18.239,20.416,0.155,0.181,0.191,0.152,90.000
24,0.024,14.379,21.685,0.573,14.301,21.581,0.155,0.207,0.196,0.157,90.000
25,0.024,18.291,21.504,0.573,18.213,21.400,0.155,0.207,0.196,0.157,90.000
26,0.024,14.379,22.566,0.573,14.301,22.462,0.155,0.207,0.196,0.157,90.000
27,0.024,15.286,22.540,0.573,15.208,22.436,0.155,0.207,0.196,0.157,90.000
28,0.053,16.413,22.501,0.816,16.270,22.385,0.285,0.233,0.283,0.238,0.000
29,0.030,17.371,22.488,0.611,17.281,22.385,0.181,0.207,0.205,0.183,90.000
30,0.058,18.278,22.462,0.855,18.136,22.333,0.285,0.259,0.282,0.261,0.000
