TargetID,Average X step (target mm),Average Z step (target mm),Horizontal conversion factor (mirror mm/target mm),Vertical conversion factor (mirror mm/target mm),Target center X (mirror mm),Target center Z (mirror mm),Horizontal offset from true center (mirror mm),Vertical offset from true target center (mirror mm),Horizontal offset from true center (target mm),Vertical offset from true target center (target mm)
Cu_11_03,0.979311792,0.999191322,0.053200626,0.072558677,5.686,4.658,-0.031335168,-0.004861431,-0.588999987,-0.066999995
Cu_11_01,0.98571039,1.005658601,0.052855281,0.07209206,5.686,4.658,-0.007611161,0.04621101,-0.14400001,0.640999994
Cu_11_02,0.99812205,1.003841815,0.052198025,0.072222534,5.686,4.658,-0.006263763,0.029972352,-0.12,0.415000005
Cu_11_04,0.972810965,1.01588126,0.05355614,0.071366608,5.686,4.658,-0.036096838,-0.038823435,-0.673999993,-0.544000003
Cu_11_05,0.978344505,1.000938119,0.053253225,0.07243205,5.686,4.658,-0.025774561,0.026727426,-0.484000002,0.368999994
Cu_11_06,0.979306314,1.00931936,0.053200923,0.071830585,5.686,4.658,-0.004149672,-0.044103979,-0.078,-0.613999997
Cu_11_07,0.970191643,1.006339494,0.053700731,0.072043282,5.686,4.658,-0.024756037,0.008573151,-0.461,0.119000006
Cu_11_08,0.99155612,1.016857067,0.052543672,0.071298123,5.686,4.658,-0.005359455,-0.031228578,-0.102000009,-0.438000002
Cu_11_09,0.982645355,1.01380155,0.053020146,0.07151301,5.686,4.658,0.01097517,0.019523052,0.206999996,0.273000004
Cu_11_10,0.974635845,1.006173256,0.053455863,0.072055185,5.686,4.658,-0.028759254,-0.003242483,-0.537999995,-0.044999995
Al_05 Rotate,nan,0.666108099,nan,0.075062892,5.66,4.68,nan,0.04987408,nan,0.664430568
,,,,,,,,,StDEV:,StDEV: 
,,,,,,,,,0.287143416,0.454569425
,,,,,,,,,MEAN:,MEAN:
,,,,,,,,,-0.2983,0.070311871
