,5.46,5.56,5.61,5.635,5.66,5.685,5.71,5.76,5.86,,,,,,
4.48,0.049,0.169,,,0.27,,,0.24,0.119,,,,,,
4.58,0.265,0.289,0.42,,0.485,,0.576,0.513,0.111,,,,,,
4.63,,0.304,0.449,0.498,0.452,0.562,0.603,0.516,,,,,,,
4.655,,,0.496,0.582,0.626,0.676,0.707,,,,,,,,
4.68,0.163,0.478,0.495,0.538,0.573,0.58,0.589,0.759,0.162,,,Extra points hit between smallest grid and first outside ring for tune checking ,,,
4.705,,,0.516,0.522,0.482,0.571,0.575,,,,,,5.585,5.66,5.735
4.73,,0.378,0.447,0.562,0.507,0.578,0.629,0.39,,,,4.605,0.466,0.617,0.607
4.78,0.306,0.367,0.262,,0.317,,0.436,0.38,0.12,,,4.68,0.584,0.504,0.83
4.88,0.372,0.153,,,0.374,,,0.122,0.1,,,4.755,0.475,0.543,0.692
