,Tuning center pos,,,,,,,,,,,,
pos,total number of pulses,bender (V),ext steerT,extSteerB,ext steerL (V),ext steerR (V),ext lens1 (V),ext lens2 (V),Sel1 (V),Sel3 (V),Sel2 (V),Sel4 (V),charge at center (nC)
"(5.66,4.68)",600,900,off,off,off,off,2500,1300,1900,1900,1900,1900,0.529
"(5.66,4.68)",800,880,off,off,off,off,2500,1300,1900,1900,1900,1900,0.404
"(5.66,4.68)",1000,940,off,off,off,off,2500,1300,1900,1900,1900,1900,0.433
"(5.66,4.68)",1200,920,50,50,50,50,2500,1300,1900,1900,1900,1900,0.437
"(5.66,4.68)",1400,920,50,50,50,50,2500,1350,1900,1900,1900,1900,0.375
"(5.66,4.68)",1600,920,50,50,50,50,2500,1250,1900,1900,1900,1900,0.417
"(5.66,4.68)",1800,920,50,50,50,50,2550,1300,1900,1900,1900,1900,0.402
"(5.66,4.68)",2000,920,0,0,0,0,2500,1300,1900,1900,1900,1900,0.443
"(5.66,4.68)",2200,920,off,off,off,off,2500,1300,1900,1900,1900,1900,0.46
"(5.66,4.68)",2400,920,50,50,45,55,2500,1300,1900,1900,1900,1900,0.42
"(5.66,4.68)",2600,920,50,50,40,60,2500,1300,1900,1900,1900,1900,0.405
"(5.66,4.68)",2800,920,50,50,55,45,2500,1300,1900,1900,1900,1900,0.458
"(5.66,4.68)",3000,920,50,50,60,40,2500,1300,1900,1900,1900,1900,0.444
"(5.66,4.68)",3200,920,45,55,55,45,2500,1300,1900,1900,1900,1900,0.44
"(5.66,4.68)",3400,920,40,60,55,45,2500,1300,1900,1900,1900,1900,0.43
"(5.66,4.68)",3600,920,55,45,55,45,2500,1300,1900,1900,1900,1900,0.403
"(5.66,4.68)",3800,920,60,40,55,45,2500,1300,1900,1900,1900,1900,0.393
"(5.66,4.68)",4000,920,50,50,55,45,2500,1300,1900,1900,1910,1890,0.524
"(5.66,4.68)",4200,920,50,50,55,45,2500,1300,1900,1900,1920,1880,0.694
"(5.66,4.68)",4200,920,50,50,55,45,2500,1300,1900,1900,1930,1870,0.725
"(5.66,4.68)",4400,920,50,50,55,45,2500,1300,1900,1900,1940,1860,0.801
"(5.66,4.68)",4600,920,50,50,55,45,2500,1300,1900,1900,1950,1850,0.668
"(5.66,4.68)",4800,920,50,50,55,45,2500,1300,1900,1900,1960,1840,0.505
"(5.66,4.68)",5000,920,50,50,55,45,2500,1300,1900,1900,1890,1910,0.318
"(5.66,4.68)",5200,920,50,50,55,45,2500,1300,1910,1890,1940,1860,0.627
"(5.66,4.68)",5400,920,50,50,55,45,2500,1300,1920,1880,1940,1860,0.461
"(5.66,4.68)",5600,920,50,50,55,45,2500,1300,1890,1910,1940,1860,0.816
"(5.66,4.68)",5800,920,50,50,55,45,2500,1300,1880,1920,1940,1860,0.6
"(5.66,4.68)",6000,950,50,50,55,45,2500,1300,1900,1900,1920,1880,0.739
"(5.66,4.68)",6200,940,50,50,55,45,2500,1300,1900,1900,1920,1880,0.713
"(5.66,4.68)",6400,960,50,50,55,45,2500,1300,1900,1900,1920,1880,0.73
"(5.66,4.68)",6600,960,50,50,55,45,2500,1300,1900,1900,1910,1890,0.655
"(5.66,4.68)",6800,960,50,50,55,45,2500,1300,1900,1900,1930,1870,0.75
"(5.66,4.68)",7000,960,50,50,55,45,2500,1300,1900,1900,1940,1860,0.671
"(5.66,4.68)",7200,920,50,50,55,45,2500,1300,1900,1900,1940,1860,0.836
